EAST,NORTH,RL,Auppm,Agppm,Cuppm,Asppm,Sper,CODE,OX,ISBD
243940,1002230,1855,0.407,2.335,1311,27,0.01,C1,TR1,2.42
243945,1002230,1855,0.407,2.335,1311,27,0.01,C1,TR1,1.98
243950,1002260,1855,0.407,2.335,1311,27,0.01,C1,TR1,2.068
243965,1002260,1855,0.385,2.1,572,0,0,C1,TR1,2.222
243970,1002260,1855,0.385,2.1,572,0,0,C1,TR1,2.156
243960,1002270,1855,0.385,2.1,572,0,0,C1,OX1,2.08
243965,1002270,1855,0.385,2.1,572,0,0,C1,OX1,2.06
243970,1002270,1855,0.385,2.1,572,0,0,C1,OX1,1.9
243930,1002220,1860,0.42152,1.422,852.36,22.85,2.4078,C1,TR1,2.024
243935,1002220,1860,0.41747,1.429,832.36,21.87,1.9388,C1,TR1,2.112
243940,1002220,1860,0.43971,1.571,903.54,21.75,1.4171,C1,TR1,2.31
243945,1002220,1860,0.39553,1.481,796.97,17.64,0.0067,C1,TR1,2.156
243915,1002230,1860,0.29976,0.649,392.34,12.92,1.796,C1,TR1,2.134
243920,1002230,1860,0.41195,1.136,699.73,21.67,2.7292,C1,TR1,2.244
243925,1002230,1860,0.41101,1.464,867.17,23.13,1.9843,C1,TR1,2.024
243930,1002230,1860,0.42508,1.581,941.21,24.66,2.3965,C1,TR1,2.156
243935,1002230,1860,0.43059,1.674,956.12,23.95,1.7293,C1,TR1,2.046
243940,1002230,1860,0.43101,1.808,1028.29,24.44,1.3558,C1,TR1,2.134
243945,1002230,1860,0.38005,2.332,1082.62,34.62,0.1523,C1,TR1,2.178
243950,1002230,1860,0.37,2.113,1083,26,0.01,C1,TR1,2.2
243960,1002230,1860,0.385,2.1,572,0,0,C1,TR1,2.31
243965,1002230,1860,0.385,2.1,572,0,0,C1,TR1,2.09
243935,1002240,1860,0.42813,1.85,1045.28,25.63,1.549,C1,TR1,2.112
243940,1002240,1860,0.38016,2.331,1083.82,34.56,0.1512,C1,TR1,2.376
243945,1002240,1860,0.38005,2.332,1082.7,34.62,0.1522,C1,TR1,2.376
243950,1002240,1860,0.3665,2.331,967.61,38.49,0.2244,C1,TR1,2.046
243955,1002240,1860,0.385,2.1,572,0,0,C1,TR1,2.024
243960,1002240,1860,0.385,2.1,572,0,0,C1,TR1,2.002
243965,1002240,1860,0.385,2.1,572,0,0,C1,TR1,2.2
243950,1002250,1860,0.38128,2.271,947.85,25.56,0.1129,C1,TR1,2.42
243955,1002250,1860,0.385,2.1,572,0,0,C1,TR1,2.068
243960,1002250,1860,0.385,2.1,572,0,0,C1,TR1,2.31
243965,1002250,1860,0.42842,3.654,839.4,0,0,C1,TR1,2.244
243970,1002250,1860,0.42854,3.659,840.17,0,0,C1,TR1,2.046
243940,1002260,1860,0.38019,2.331,1084.12,34.54,0.1509,C1,TR1,2.156
243945,1002260,1860,0.38006,2.332,1082.8,34.61,0.1521,C1,TR1,2.376
243950,1002260,1860,0.38146,2.263,929.96,24.35,0.1076,C1,OX1,2.2
243955,1002260,1860,0.37548,2.295,693.12,22.06,0.19,C1,OX1,1.9
243960,1002260,1860,0.42817,3.645,837.87,0,0,C1,OX1,2.02
243965,1002260,1860,0.42833,3.651,838.89,0,0,C1,OX1,2.02
243970,1002260,1860,0.42848,3.656,839.8,0,0,C1,OX1,1.98
243940,1002270,1860,0.38019,2.331,1084.16,34.54,0.1508,C1,OX1,2.06
243945,1002270,1860,0.38006,2.332,1082.82,34.61,0.1521,C1,OX1,1.9
243950,1002270,1860,0.38168,2.253,907.68,22.83,0.1009,C1,OX1,2.2
243955,1002270,1860,0.37647,2.274,680.52,19.77,0.1702,C1,OX1,1.82
243960,1002270,1860,0.42805,3.641,837.17,0,0,C1,OX1,1.8
243965,1002270,1860,0.42825,3.648,838.38,0,0,C1,OX1,1.96
243970,1002270,1860,0.42842,3.654,839.43,0,0,C1,OX1,2.2
243975,1002270,1860,0.42857,3.66,840.34,0,0,C1,OX1,1.96
243955,1002280,1860,0.37746,2.254,667.97,17.48,0.1506,C1,OX1,2.14
243960,1002280,1860,0.42795,3.638,836.55,0,0,C1,OX1,2.1
243965,1002280,1860,0.42818,3.646,837.93,0,0,C1,OX1,1.98
243970,1002280,1860,0.53585,3.861,837.47,0,0,C1,OX1,1.8
243975,1002280,1860,0.53681,3.867,838.14,0,0,C1,OX1,2.1
243970,1002290,1860,0.53562,3.86,837.33,0,0,C1,OX1,2.2
243975,1002290,1860,0.53665,3.866,838.04,0,0,C1,OX1,2.14
243925,1002210,1865,0.46608,1.632,846.54,25.52,2.0945,C1,TR1,2.244
243930,1002210,1865,0.44795,1.326,789.45,23.04,2.1035,C1,TR1,2.024
243935,1002210,1865,0.51507,1.577,895.98,25.44,1.7852,C1,TR1,2.046
243940,1002210,1865,0.52463,1.633,921.77,25.66,1.5082,C1,TR1,2.376
243945,1002210,1865,0.5311,1.597,866.9,24.86,0.86,C1,TR1,1.98
243950,1002210,1865,0.40939,0,0,0,0,C1,TR1,2.222
243955,1002210,1865,0.385,2.1,572,0,0,C1,TR1,2.046
243915,1002220,1865,0.47189,1.407,680.97,17.76,1.7725,C1,TR1,2.112
243920,1002220,1865,0.51074,1.474,742.59,19.87,1.9492,C1,TR1,2.068
243925,1002220,1865,0.43818,1.527,901.84,25.83,2.2274,C1,TR1,2.024
243930,1002220,1865,0.44678,1.466,864.64,24.7,2.1002,C1,TR1,2.002
243935,1002220,1865,0.51068,1.737,966.95,27.76,1.76,C1,TR1,2.178
243940,1002220,1865,0.52067,1.819,1005.52,28.39,1.5008,C1,TR1,2.112
243945,1002220,1865,0.50849,1.878,928.83,28.3,0.7642,C1,TR1,2.398
243950,1002220,1865,0.3752,2.245,666.42,27.94,0.1704,C1,TR1,2.376
243955,1002220,1865,0.385,2.1,572,0,0,C1,TR1,2.244
243960,1002220,1865,0.385,2.1,572,0,0,C1,TR1,2.332
243965,1002220,1865,0.385,2.1,572,0,0,C1,TR1,2.31
243905,1002230,1865,0.36857,0.958,407.94,11.72,1.489,C1,TR1,2.178
243910,1002230,1865,0.47517,0.938,436.63,12.33,1.4646,C1,TR1,2.2
243915,1002230,1865,0.47198,1.259,590.8,15.17,1.2153,C1,TR1,2.376
243920,1002230,1865,0.4965,1.387,800.8,20.68,1.6592,C1,TR1,2.31
243925,1002230,1865,0.43203,1.662,969.05,26.91,2.0724,C1,TR1,1.98
243930,1002230,1865,0.42451,1.722,924.54,29.08,1.7899,C1,TR1,2.112
243935,1002230,1865,0.43864,1.785,945.02,29.83,1.6696,C1,TR1,2.398
243940,1002230,1865,0.48029,2.074,1028.43,31.03,1.1253,C1,TR1,1.98
243945,1002230,1865,0.38078,2.236,888.54,27.24,0.1027,C1,TR1,2.288
243950,1002230,1865,0.374,2.208,773.73,26.99,0.1258,C1,TR1,2.068
243955,1002230,1865,0.41047,3.06,732.9,9.65,0.0111,C1,TR1,2.112
243960,1002230,1865,0.42857,3.66,840.35,0,0,C1,TR1,2.112
243965,1002230,1865,0.42866,3.663,840.93,0,0,C1,TR1,2.31
243925,1002240,1865,0.41071,1.771,1006.71,25.18,1.6317,C1,TR1,2.068
243930,1002240,1865,0.41586,1.873,977.4,30.78,1.5571,C1,TR1,2.112
243935,1002240,1865,0.4276,1.941,1001.2,31.66,1.4605,C1,TR1,2.156
243940,1002240,1865,0.41282,2.209,1019.06,34,0.9519,C1,TR1,2.2
243945,1002240,1865,0.38085,2.233,882.75,26.74,0.1009,C1,TR1,2.42
243950,1002240,1865,0.48402,2.326,779.73,23.03,0.1,C1,TR1,2.354
243955,1002240,1865,0.50511,2.925,779.6,17.79,0.0979,C1,TR1,2.156
243960,1002240,1865,0.42849,3.657,839.89,0,0,C1,TR1,2.002
243965,1002240,1865,0.53735,3.869,838.44,0,0,C1,TR1,2.112
243970,1002240,1865,0.53795,3.873,838.85,0,0,C1,TR1,2.31
243940,1002250,1865,0.39535,2.214,908.94,27.96,0.35,,TR1,2.332
243945,1002250,1865,0.38097,2.23,873.92,25.98,0.098,C1,TR1,2.112
243950,1002250,1865,0.47971,2.811,830.76,18.61,0.0808,C1,TR1,2.244
243955,1002250,1865,0.50081,2.963,782.57,16.81,0.0925,C1,TR1,2.376
243960,1002250,1865,0.53612,3.862,837.62,0,0,C1,TR1,2.024
243965,1002250,1865,0.53692,3.867,838.18,0,0,C1,TR1,2.266
243970,1002250,1865,0.53764,3.871,838.68,0,0,C1,TR1,2.376
243975,1002250,1865,0.762,4.3,834,0,0,C1,TR1,2.354
243940,1002260,1865,0.38115,2.226,867.13,25.19,0.0947,C1,OX1,1.88
243945,1002260,1865,0.38113,2.224,861.06,24.88,0.0939,C1,OX1,2.1
243950,1002260,1865,0.47624,2.862,830.76,17.4,0.0756,C1,OX1,1.94
243955,1002260,1865,0.49537,3.012,786.32,15.56,0.0857,C1,OX1,1.8
243960,1002260,1865,0.53548,3.859,837.22,0,0,C1,OX1,1.9
243965,1002260,1865,0.53646,3.865,837.9,0,0,C1,OX1,1.98
243970,1002260,1865,0.50386,3.625,772.57,0,0,C1,OX1,2.18
243975,1002260,1865,0.54508,4.151,841.25,0,0,C1,OX1,2.12
243940,1002270,1865,0.38139,2.218,848.76,23.62,0.0888,C1,OX1,1.9
243945,1002270,1865,0.38137,2.217,843.65,23.38,0.0882,C1,OX1,2.02
243950,1002270,1865,0.47199,2.926,830.7,15.91,0.0691,C1,OX1,1.82
243955,1002270,1865,0.54133,3.304,798.96,11.41,0.0628,C1,OX1,2.06
243960,1002270,1865,0.53483,3.855,836.8,0,0,C1,OX1,2.08
243965,1002270,1865,0.53599,3.862,837.62,0,0,C1,OX1,2.1
243970,1002270,1865,0.50378,3.625,772.75,0,0,C1,OX1,1.9
243975,1002270,1865,0.54516,4.152,841.68,0,0,C1,OX1,1.86
243950,1002280,1865,0.46734,2.995,830.58,14.27,0.0619,C1,OX1,2.12
243955,1002280,1865,0.53983,3.368,803.12,10,0.0551,C1,OX1,1.88
243960,1002280,1865,0.53423,3.852,836.41,0,0,C1,OX1,1.94
243965,1002280,1865,0.50331,3.623,773.25,0,0,C1,OX1,2.16
243970,1002280,1865,0.5037,3.625,772.9,0,0,C1,OX1,2.08
243975,1002280,1865,0.54523,4.154,842.04,0,0,C1,OX1,2
243980,1002280,1865,0.398,2.85,564,0,0,C1,OX1,2.2
243960,1002290,1865,0.53381,3.85,836.13,0,0,C1,OX1,2.16
243965,1002290,1865,0.50322,3.623,773.38,0,0,C1,OX1,1.84
243970,1002290,1865,0.50365,3.625,773.01,0,0,C1,OX1,1.84
243975,1002290,1865,0.50399,3.626,772.66,0,0,C1,OX1,2.06
243980,1002290,1865,0.58213,3.583,700.58,0,0,C1,OX1,1.8
243970,1002300,1865,0.50363,3.624,773.04,0,0,C1,TR1,2.024
243975,1002300,1865,0.50398,3.626,772.69,0,0,C1,TR1,2.288
243980,1002300,1865,0.58217,3.584,700.61,0,0,C1,OX1,1.84
243925,1002180,1870,0.51403,1.702,706.52,22.93,1.3355,C1,TR1,2.002
243930,1002180,1870,0.5054,1.529,653.27,21.39,1.2936,C1,TR1,2.376
243930,1002190,1870,0.50541,1.649,740.37,23.95,1.4886,C1,TR1,2.31
243935,1002190,1870,0.56248,1.656,807.17,22.98,1.5595,C1,TR1,2.09
243940,1002190,1870,0.58816,1.288,759.46,19.77,1.3734,C1,TR1,2.09
243945,1002190,1870,0.63278,1.172,733.75,17.99,1.4627,C1,TR1,2.112
243950,1002190,1870,0.60632,0.915,579.87,13.34,1.3647,C1,TR1,2.024
243925,1002200,1870,0.50405,1.786,856.7,26.72,1.759,C1,TR1,2.266
243930,1002200,1870,0.50194,1.659,813.13,25.6,1.6949,C1,TR1,2.002
243935,1002200,1870,0.56163,1.715,888.12,25.18,1.7089,C1,TR1,2.134
243940,1002200,1870,0.58491,1.609,903.19,24.02,1.4306,C1,TR1,2.068
243945,1002200,1870,0.61012,1.569,862.51,22.94,1.4352,C1,TR1,2.42
243950,1002200,1870,0.81612,2.474,1457.61,31.61,3.2341,C1,TR1,2.266
243955,1002200,1870,0.385,2.1,572,0,0,C1,TR1,2.332
243910,1002210,1870,0.48159,1.446,668.9,19.29,1.8025,C1,TR1,2.266
243915,1002210,1870,0.50031,1.586,761.73,22.92,1.8717,C1,TR1,2.002
243920,1002210,1870,0.51458,1.5,737.16,22.76,1.7906,C1,TR1,2.068
243925,1002210,1870,0.50025,1.826,895.26,27.62,1.788,C1,TR1,2.288
243930,1002210,1870,0.49098,1.668,876.48,26.72,1.808,C1,TR1,2.354
243935,1002210,1870,0.56105,1.66,930.73,25.66,1.7485,C1,TR1,2.09
243940,1002210,1870,0.5705,1.769,947.38,25.03,1.3738,C1,TR1,2.288
243945,1002210,1870,0.62575,1.849,941.41,24.64,1.4033,C1,TR1,2.09
243950,1002210,1870,0.66961,2.718,1119.27,26.93,1.6316,C1,TR1,2.31
243955,1002210,1870,0.42871,3.664,841.19,0,0,C1,TR1,1.98
243960,1002210,1870,0.42877,3.667,841.61,0,0,C1,TR1,2.002
243900,1002220,1870,0.46616,1.064,499.19,14.4,1.6319,C1,TR1,2.398
243905,1002220,1870,0.46907,1.303,585.79,16.47,1.4663,C1,TR1,2.31
243910,1002220,1870,0.48956,1.363,644.02,17.54,1.7006,C1,TR1,2.332
243915,1002220,1870,0.50356,1.528,749.45,22.05,1.7123,C1,TR1,2.112
243920,1002220,1870,0.52091,1.409,751.37,22.84,1.7344,C1,TR1,2.244
243925,1002220,1870,0.49228,1.743,936.87,28.22,1.8302,C1,TR1,2.046
243930,1002220,1870,0.47815,1.646,885.01,26.21,1.6941,C1,TR1,1.98
243935,1002220,1870,0.55813,1.876,1017.44,28.19,1.5116,C1,TR1,2.2
243940,1002220,1870,0.58504,2.056,1012.66,26.26,1.2417,C1,TR1,2.398
243945,1002220,1870,0.60871,2.394,1025.17,25.38,0.9797,C1,TR1,2.244
243950,1002220,1870,0.62324,2.866,992.84,23.53,0.716,C1,TR1,2.332
243955,1002220,1870,0.55379,2.961,754.02,10.2,0.0113,C1,TR1,2.244
243960,1002220,1870,0.53814,3.874,838.95,0,0,C1,TR1,2.376
243965,1002220,1870,0.61655,4.778,974.92,0,0,C1,TR1,2.42
243900,1002230,1870,0.4742,0.926,431.03,12.24,1.3692,C1,TR1,2.266
243905,1002230,1870,0.46892,1.151,560.43,14.61,1.223,C1,TR1,2.178
243910,1002230,1870,0.49417,1.285,618.04,16.35,1.4445,C1,TR1,2.024
243915,1002230,1870,0.50532,1.455,744.01,20.99,1.5141,C1,TR1,2.112
243920,1002230,1870,0.50588,1.557,784.24,24.88,1.4742,C1,TR1,2.332
243925,1002230,1870,0.4775,1.793,984.28,28.73,1.7399,C1,TR1,2.222
243930,1002230,1870,0.4812,1.835,937.86,28.34,1.419,C1,TR1,2.31
243935,1002230,1870,0.52774,2.002,1011.11,27.79,1.2712,C1,TR1,2.002
243940,1002230,1870,0.57093,2.177,1022.64,26.79,1.0748,C1,TR1,2.002
243945,1002230,1870,0.57781,2.626,1093.72,26.33,0.7797,C1,TR1,2.376
243950,1002230,1870,0.50514,2.586,735.72,16.34,0.0878,C1,TR1,2.222
243955,1002230,1870,0.56793,2.859,730.42,7.34,0.0092,C1,TR1,2.09
243960,1002230,1870,0.53781,3.872,838.76,0,0,C1,TR1,2.31
243965,1002230,1870,0.50415,3.625,772.09,0,0,C1,TR1,2.2
243970,1002230,1870,0.54485,4.145,839.87,0,0,C1,TR1,2.398
243910,1002240,1870,0.49833,1.204,615.59,15.1,1.1662,C1,TR1,2.002
243915,1002240,1870,0.49918,1.371,765.24,20.34,1.2552,C1,TR1,2.112
243920,1002240,1870,0.49267,1.564,813.03,25.51,1.2402,C1,TR1,2.354
243925,1002240,1870,0.45645,1.925,1021.53,30.3,1.4788,C1,TR1,1.98
243930,1002240,1870,0.45885,1.993,977.25,30.27,1.2019,C1,TR1,1.98
243935,1002240,1870,0.54284,2.201,1002.25,26.64,0.9586,C1,TR1,2.156
243940,1002240,1870,0.55232,2.353,1053.65,27.8,0.9154,C1,TR1,2.31
243945,1002240,1870,0.54267,2.543,977.34,20.93,0.3608,C1,TR1,2.024
243950,1002240,1870,0.51406,2.74,794.14,15.39,0.0658,C1,TR1,2.354
243955,1002240,1870,0.56619,2.907,735.57,6.98,0.0087,C1,TR1,2.09
243960,1002240,1870,0.57173,3.067,742.68,2.44,0.0035,C1,TR1,2.244
243965,1002240,1870,0.50409,3.625,772.27,0,0,C1,TR1,2.376
243970,1002240,1870,0.54493,4.146,840.27,0,0,C1,TR1,2.09
243975,1002240,1870,0.398,2.85,564,0,0,C1,TR1,2.332
243925,1002250,1870,0.40757,2.033,1026.22,32.33,1.2053,C1,TR1,2.222
243930,1002250,1870,0.4412,2.12,1002.2,31.72,0.975,C1,TR1,2.244
243935,1002250,1870,0.49944,2.258,950.23,25.78,0.6412,C1,TR1,2.178
243940,1002250,1870,0.4987,2.665,959.64,22.51,0.3142,C1,TR1,2.398
243945,1002250,1870,0.4717,2.544,855.61,18.19,0.0648,C1,TR1,2.046
243950,1002250,1870,0.51492,2.797,796.19,14.58,0.0623,C1,OX1,2.04
243955,1002250,1870,0.56381,2.972,742.51,6.49,0.0081,C1,OX1,1.9
243960,1002250,1870,0.56571,3.116,745.46,2.22,0.0032,C1,OX1,1.8
243965,1002250,1870,0.50401,3.625,772.48,0,0,C1,OX1,1.86
243970,1002250,1870,0.50381,3.363,727.97,0,0,C1,OX1,1.8
243975,1002250,1870,0.55553,3.146,648.15,0,0,C1,OX1,1.9
243935,1002260,1870,0.48741,2.309,925.57,24.67,0.422,C1,OX1,1.82
243940,1002260,1870,0.48766,2.727,938.24,20.78,0.2396,C1,OX1,2.04
243945,1002260,1870,0.46921,2.603,854.18,17.2,0.0613,C1,OX1,1.98
243950,1002260,1870,0.51603,2.876,798.97,13.47,0.0576,C1,OX1,2.14
243955,1002260,1870,0.51789,2.972,738.07,10.09,0.054,C1,OX1,2.16
243960,1002260,1870,0.61778,2.893,769.91,2.59,0.0037,C1,OX1,1.82
243965,1002260,1870,0.50392,3.625,772.7,0,0,C1,OX1,2.16
243970,1002260,1870,0.50378,3.365,728.4,0,0,C1,OX1,2.1
243975,1002260,1870,0.55574,3.148,648.39,0,0,C1,OX1,2.18
243980,1002260,1870,0.502,2.25,541,0,0,C1,OX1,2.16
243935,1002270,1870,0.46386,2.288,870.66,22.81,0.2982,C1,OX1,1.84
243940,1002270,1870,0.46329,2.834,889.95,17.58,0.0631,C1,OX1,2.18
243945,1002270,1870,0.50541,2.898,849.74,13.71,0.0489,C1,OX1,2.06
243950,1002270,1870,0.51731,2.972,802.39,12.1,0.0517,C1,OX1,2.08
243955,1002270,1870,0.51603,3.047,742.38,8.91,0.0477,C1,OX1,1.86
243960,1002270,1870,0.60404,2.98,770.47,2.28,0.0033,C1,OX1,1.98
243965,1002270,1870,0.50349,3.37,729.88,0,0,C1,OX1,1.98
243970,1002270,1870,0.50374,3.366,728.83,0,0,C1,OX1,2.1
243975,1002270,1870,0.53464,3.689,768.14,0,0,C1,OX1,2.04
243980,1002270,1870,0.44944,2.553,552.62,0,0,C1,OX1,1.96
243945,1002280,1870,0.5078,3.009,847.24,12.01,0.0428,C1,OX1,2.08
243950,1002280,1870,0.5186,3.076,806.06,10.6,0.0453,C1,OX1,2.04
243955,1002280,1870,0.5141,3.124,746.78,7.72,0.0413,C1,OX1,1.84
243960,1002280,1870,0.59058,3.065,771.04,1.98,0.0028,C1,OX1,1.92
243965,1002280,1870,0.50342,3.372,730.4,0,0,C1,OX1,1.8
243970,1002280,1870,0.50371,3.368,729.2,0,0,C1,OX1,2.04
243975,1002280,1870,0.53472,3.691,768.58,0,0,C1,OX1,1.8
243980,1002280,1870,0.47649,2.714,614.33,0,0,C1,OX1,2
243950,1002290,1870,0.51977,3.172,809.44,9.22,0.0394,,TR1,2.156
243955,1002290,1870,0.52415,3.241,742.66,3.19,0.004,C1,OX1,1.8
243960,1002290,1870,0.53811,3.338,758.22,1.25,0.0018,C1,OX1,2.14
243965,1002290,1870,0.50337,3.374,730.78,0,0,C1,OX1,1.88
